Year,Area,Name,FID,Name_1
2018,201,Marad_Raffa,0,MR_0
2018,74,Maradi_Koona,0,MK_0
2014,59,Tahaoua_karkara,0,Tk_0
2014,0.2,Tahaoua_karkara,1,Tk_1
2014,4,Tahaoua_karkara,2,Tk_2
2014,2,Tahaoua_karkara,3,Tk_3
2014,1,Tahaoua_karkara,13,Tk_13
2015,41,Tahaoua_karkara,4,Tk_4
2015,41,Tahaoua_karkara,5,Tk_5
2015,1.5,Tahaoua_karkara,6,Tk_6
2015,3,Tahaoua_karkara,7,Tk_7
2015,3,Tahaoua_karkara,8,Tk_8
2015,2,Tahaoua_karkara,10,Tk_10
2015,2,Tahaoua_karkara,11,Tk_11
2015,17,Tahaoua_karkara,12,Tk_12
2018,15,Tahaoua_karkara,9,Tk_9
2013,3,Tahoua_Gougouhema,5,TG_5
2013,9,Tahoua_Gougouhema,7,TG_7
2014,67,Tahoua_Gougouhema,1,TG_1
2014,35,Tahoua_Gougouhema,2,TG_2
2014,44,Tahoua_Gougouhema,3,TG_3
2014,10,Tahoua_Gougouhema,6,TG_6
2014,8,Tahoua_Gougouhema,8,TG_8
2014,3,Tahoua_Gougouhema,9,TG_9
2016,8,Tahoua_Gougouhema,0,TG_0
2018,25,Tahoua_Gougouhema,10,TG_10
2019,1.6,Tahoua_Gougouhema,4,TG_4
2019,30,Tahoua_Gougouhema,11,TG_11
2018,39,Tahoua_Qafat,0,TQ_0
2018,33,Tahoua_Qafat,2,TQ_2
2019,15,Tahoua_Qafat,1,TQ_1
2019,14,Tahoua_Qafat,3,TQ_3
2013,17,Tillaberi_dejro,2,Td_2
2016,15,Tillaberi_dejro,0,Td_0
2017,14,Tillaberi_dejro,1,Td_1
2013,13,Tillaberi_Satara,2,TS_2
2015,45,Tillaberi_Satara,0,TS_0
2017,12,Tillaberi_Satara,1,TS_1
2017,19,Tillaberi_Satara,3,TS_3
2017,9,Tillaberi_Satara,5,TS_5
2019,47,Tillaberi_Satara,4,TS_4
